iter	Logloss
0	0.6497484837
1	0.6168934152
2	0.5940458152
3	0.5739532268
4	0.5603828298
5	0.5485564834
6	0.5392971505
7	0.5309643955
8	0.5227263249
9	0.5173162339
10	0.5124792243
11	0.5089144978
12	0.504841373
13	0.5011969949
14	0.4982340048
15	0.4961037667
16	0.4939689811
17	0.4920922327
18	0.4905815737
19	0.4890246349
20	0.4876935374
21	0.4868273805
22	0.4858780671
23	0.4847320042
24	0.4837400608
25	0.4828026145
26	0.481971699
27	0.4814266208
28	0.4807467105
29	0.4800160152
30	0.4794999857
31	0.4789018728
32	0.4783972602
33	0.4780168689
34	0.4775718097
35	0.4772732436
36	0.4770198467
37	0.4766213694
38	0.4761007585
39	0.475674968
40	0.4753179802
41	0.4750549198
42	0.4746544301
43	0.4744025981
44	0.4741214281
45	0.4738604277
46	0.4736745668
47	0.4734964726
48	0.4732664894
49	0.4730462637
