iter	Passed	Remaining
0	12	594
1	25	603
2	37	581
3	49	569
4	61	554
5	73	538
6	85	526
7	97	513
8	109	500
9	121	484
10	133	473
11	145	459
12	157	447
13	168	433
14	180	421
15	191	406
16	203	394
17	214	382
18	227	370
19	239	359
20	251	347
21	262	334
22	272	320
23	283	307
24	294	294
25	305	282
26	316	269
27	327	257
28	338	245
29	349	233
30	360	220
31	371	208
32	382	196
33	392	184
34	403	172
35	414	161
36	424	149
37	436	137
38	446	126
39	457	114
40	468	102
41	479	91
42	490	79
43	500	68
44	511	56
45	523	45
46	534	34
47	545	22
48	556	11
49	566	0
