iter	Logloss
0	0.5630834617
1	0.473813467
2	0.4080976327
3	0.3617186965
4	0.3245615238
5	0.2959367792
6	0.2726182867
7	0.2538702769
8	0.2385722921
9	0.2259023479
10	0.215680337
11	0.2068457484
12	0.2003148935
13	0.1942474436
14	0.1893137456
15	0.18458988
16	0.1811785422
17	0.1777306852
18	0.1751204064
19	0.1722576466
20	0.1701022689
21	0.1679997714
22	0.166421364
23	0.1647441158
24	0.1634157089
25	0.1623286927
26	0.1611598428
27	0.1601134521
28	0.1587241305
29	0.1574703282
30	0.1566318578
31	0.1558937252
32	0.1549880742
33	0.1542082273
34	0.1534828417
35	0.152754508
36	0.1522049934
37	0.1515266942
38	0.1508662654
39	0.1503734015
40	0.1495525745
41	0.1490531328
42	0.1486319269
43	0.1480165634
44	0.1474158344
45	0.1469709291
46	0.1464626238
47	0.1459437709
48	0.1455712886
49	0.1451263317
