iter	Passed	Remaining
0	89	4391
1	104	2507
2	118	1852
3	129	1487
4	137	1236
5	147	1082
6	156	961
7	165	868
8	176	805
9	184	739
10	194	688
11	202	641
12	211	602
13	219	565
14	228	533
15	237	504
16	246	477
17	255	453
18	263	429
19	271	407
20	279	386
21	288	367
22	297	349
23	306	332
24	315	315
25	325	300
26	334	284
27	344	270
28	353	256
29	363	242
30	373	228
31	381	214
32	389	200
33	398	187
34	407	174
35	417	162
36	425	149
37	433	136
38	442	124
39	451	112
40	459	100
41	468	89
42	478	77
43	486	66
44	494	54
45	503	43
46	512	32
47	521	21
48	529	10
49	537	0
