iter	Passed	Remaining
0	65	3222
1	69	1674
2	73	1153
3	77	892
4	81	732
5	85	625
6	89	546
7	92	487
8	94	430
9	98	393
10	102	363
11	104	332
12	107	306
13	111	286
14	115	269
15	119	253
16	123	239
17	127	227
18	131	214
19	135	203
20	139	193
21	144	183
22	148	173
23	150	162
24	154	154
25	158	145
26	161	137
27	165	129
28	167	121
29	171	114
30	175	107
31	177	99
32	181	93
33	184	86
34	187	80
35	188	73
36	192	67
37	196	61
38	199	56
39	203	50
40	206	45
41	209	39
42	211	34
43	214	29
44	216	24
45	219	19
46	223	14
47	226	9
48	228	4
49	231	0
